NAME_CONTRACT_TYPE,sex,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,REGION_RATING_CLIENT,HOUR_APPR_PROCESS_START,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,NEW_DAYS_EMPLOYED_PERC,NEW_INCOME_CREDIT_PERC,NEW_INCOME_PER_PERSON,NEW_ANNUITY_INCOME_PERC,NEW_PAYMENT_RATE,NEW_LOAN_VALUE_RATIO,NEW_INCOME_PER_PERSON_PERC_AMT_ANNUITY,NEW_INCOME_PER_PERSON_PERC_PAYMENT_RATE_INCOME_PER_PERSON,NEW_FLAG_CREDIT_MORE_THAN_GOODSPRICE,NEW_AGE_RANGE,NEW_WORKING_YEAR_RANGE,NEW_TOTAL_CONTACT_INFORMATION,NEW_YEAR_LAST_PHONE_CHANGE,NEW_MISS_DOCUMENTS_20,NEW_FLAG_MISS_DOCUMENTS,NEW_AMT_REQ_CREDIT_BUREAU_YEAR,Probability
1,1,1,0,1,225000.0,1019205.0,31032.0,774000.0,0.072508,-11356,-602.0,-335.0,-3224,9.0,1,14,0,0,0,0.2620051155519113,0.3023938171668298,0.4632753280912678,3.0,0.0,0.05301162381120113,0.22076029846792353,112500.0,0.13792,0.030447260364696013,1.3168023255813954,3.625290023201856,3694913.718097448,1.0,2,1,3,1,2,1,7.0,1
1,1,1,1,1,112500.0,284400.0,22599.0,225000.0,0.015221,-13715,-151.0,-6193.0,-3754,12.0,2,8,0,1,1,0.3036934180827172,0.6160271197421764,0.0790596959945767,0.0,0.0,0.011009843237331389,0.39556962025316456,37500.0,0.20088,0.0794620253164557,1.264,1.6593654586486128,471923.5364396654,1.0,2,1,4,4,1,1,3.0,1
0,1,1,1,0,99000.0,180000.0,9000.0,180000.0,0.028663,-8063,-261.0,-738.0,-735,10.0,2,12,0,0,0,0.1293264003461732,0.2916600497102669,0.2176285202779586,1.0,0.0,0.0323700855760883,0.55,49500.0,0.09090909090909091,0.05,1.0,5.5,990000.0,0.0,1,1,3,2,0,0,2.0,1
1,0,1,1,0,450000.0,1323000.0,47650.5,1323000.0,0.018209,-18740,-1369.0,-8719.0,-2232,2.0,3,10,0,0,0,0.821621599548189,0.2273969523669658,0.3170317785834444,1.0,0.0,0.07305229455709712,0.3401360544217687,225000.0,0.10589,0.03601700680272109,1.0,4.721881197469072,6247048.824251582,0.0,4,2,3,1,1,1,2.0,1
1,0,1,0,0,540000.0,485640.0,44671.5,450000.0,0.0084739999999999,-14122,-1397.0,-6768.0,-2999,18.0,2,10,0,0,0,0.7958510848616179,0.2865009592694596,0.2340151665320674,0.0,0.0,0.09892366520322901,1.111934766493699,270000.0,0.082725,0.09198480355819125,1.0792,6.044122091266243,2935267.4524025386,1.0,2,2,3,6,1,1,0.0,1
1,1,1,0,0,225000.0,729792.0,43587.0,630000.0,0.022625,-15930,-284.0,-2526.0,-3709,24.0,2,13,0,0,0,0.5013861995024061,0.0782810981379516,0.1852020815902493,4.0,0.0,0.017827997489014438,0.30830702446724545,112500.0,0.19372,0.05972523677979479,1.1584,2.5810448069378484,1883625.8517447861,1.0,3,1,3,6,1,1,2.0,1
1,1,1,1,1,247500.0,675000.0,49248.0,675000.0,0.019101,-15753,-2882.0,-5273.0,-4554,16.0,2,11,0,0,0,0.2336023305739633,0.7414213103144254,0.100151820337239,2.0,1.0,0.182949279502317,0.36666666666666664,82500.0,0.19898181818181818,0.07296,1.0,1.6751949317738792,1130756.5789473685,0.0,3,3,3,6,1,1,3.0,1
1,0,1,0,2,90000.0,450000.0,19066.5,450000.0,0.031329,-13840,-2067.0,-3467.0,-857,9.0,2,15,0,0,0,0.4019531374329863,0.4078773502349615,0.1229554179088549,9.0,0.0,0.14934971098265895,0.2,22500.0,0.21185,0.04237,1.0,1.180080245456691,531036.110455511,0.0,2,3,3,5,1,1,2.0,1
1,1,1,1,1,121500.0,270000.0,18396.0,270000.0,0.018209,-11795,-3070.0,-3026.0,-4005,26.0,3,9,0,0,0,0.1973719265731913,0.3597613575569659,0.1997705696341145,3.0,0.0,0.2602797795676134,0.45,40500.0,0.1514074074074074,0.06813333333333334,1.0,2.2015655577299413,594422.7005870842,0.0,2,3,4,2,1,1,1.0,1
1,1,1,0,0,157500.0,225000.0,17905.5,225000.0,0.028663,-8075,-902.0,-2577.0,-767,12.0,2,10,0,0,0,0.1463837299721788,0.1683487273817445,0.4561097392782771,0.0,0.0,0.11170278637770897,0.7,78750.0,0.11368571428571428,0.07958,1.0,4.398089972354863,989570.2437798443,0.0,1,1,3,2,1,1,1.0,1
